Journal ISO4 Abbreviation,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor
Br J Hosp Med (Lond),2007,2,235,2,0.002444988
Br J Hosp Med (Lond),2008,1,226,1,0.001445087
Br J Hosp Med (Lond),2010,1,226,1,0.00087184
Br J Hosp Med (Lond),2011,1,198,2,0.00178731
Br J Hosp Med (Lond),2014,1,200,4,0.00097371
Br J Math Stat Psychol,2014,1,25,1,0.008130081
Br J Neurosurg,1999,5,103,9,0.0041841
Br J Neurosurg,2000,4,113,15,0.004329004
Br J Neurosurg,2001,2,102,2,0.002079002
Br J Neurosurg,2002,6,102,12,0.008247423
Br J Neurosurg,2004,1,114,4,0.006289308
Br J Neurosurg,2005,1,88,1,0.002114165
Br J Neurosurg,2009,2,108,2,0.002272727
Br J Neurosurg,2012,4,190,4,0.003430532
Br J Neurosurg,2015,1,182,1,0.00130719
Br J Obstet Gynaecol,1999,8,222,98,0.01734104
Br J Ophthalmol,1999,47,223,130,0.019622642
Br J Ophthalmol,2000,63,223,294,0.030496454
Br J Ophthalmol,2001,52,230,248,0.068270481
Br J Ophthalmol,2002,34,251,120,0.024242424
Br J Ophthalmol,2003,54,276,155,0.027501463
Br J Ophthalmol,2004,51,268,142,0.018549747
Br J Ophthalmol,2005,51,269,122,0.026937878
Br J Ophthalmol,2006,40,266,120,0.026441036
Br J Ophthalmol,2007,43,322,120,0.028081123
Br J Ophthalmol,2008,32,329,84,0.021406728
Br J Ophthalmol,2009,35,312,61,0.016957862
Br J Ophthalmol,2010,27,293,48,0.012260128
Br J Ophthalmol,2011,30,303,56,0.016995614
Br J Ophthalmol,2012,18,268,45,0.016676251
Br J Ophthalmol,2013,16,275,45,0.009644364
Br J Ophthalmol,2014,21,304,39,0.014842301
Br J Ophthalmol,2015,10,307,25,0.013784461
Br J Oral Maxillofac Surg,2000,7,121,7,0.004301075
Br J Oral Maxillofac Surg,2001,2,86,3,0.003944773
Br J Oral Maxillofac Surg,2003,4,95,25,0.01084991
Br J Oral Maxillofac Surg,2004,5,108,8,0.005444646
Br J Oral Maxillofac Surg,2005,3,113,3,0.003795066
Br J Oral Maxillofac Surg,2006,1,127,5,0.001851852
Br J Oral Maxillofac Surg,2007,3,174,4,0.001808318
Br J Oral Maxillofac Surg,2008,4,190,6,0.00792393
Br J Oral Maxillofac Surg,2009,3,162,7,0.005517241
Br J Oral Maxillofac Surg,2010,4,170,16,0.01494396
Br J Oral Maxillofac Surg,2012,3,186,4,0.002380952
Br J Oral Maxillofac Surg,2013,4,268,4,0.002436054
Br J Oral Maxillofac Surg,2014,3,215,5,0.004357298
Br J Oral Maxillofac Surg,2015,3,225,3,0.002083333
Br J Plast Surg,1999,15,116,40,0.020446097
Br J Plast Surg,2000,15,137,377,0.040983607
Br J Plast Surg,2001,15,138,33,0.001466276
Br J Plast Surg,2002,9,127,36,0.006361323
Br J Plast Surg,2003,6,152,19,0.010514019
Br J Plast Surg,2004,10,115,19,0.006976744
Br J Plast Surg,2005,9,174,50,0.016726404
Br J Psychiatry,1999,7,149,14,0.00233827
Br J Psychiatry,2000,7,162,9,0.003278689
Br J Psychiatry,2001,16,149,59,0.006837607
Br J Psychiatry,2002,12,134,31,0.011216566
Br J Psychiatry,2003,9,137,10,0.008658009
Br J Psychiatry,2005,11,143,18,0.006266786
Br J Psychiatry,2006,9,164,34,0.001863933
Br J Psychiatry,2007,10,155,33,0.018744142
Br J Psychiatry,2008,2,160,2,0.012645914
Br J Psychiatry,2009,8,158,30,0.010967099
Br J Psychiatry,2010,1,144,1,0.001012146
Br J Psychiatry,2011,3,132,4,0.002129925
Br J Psychiatry,2012,5,121,26,0.010893246
Br J Psychiatry,2013,3,119,4,0.005518764
Br J Psychiatry,2015,1,158,2,0.003311258
Br J Psychol,2011,2,56,2,0.005617978
Br J Radiol,1999,17,208,110,0.007729469
Br J Radiol,2000,19,205,36,0.005928854
Br J Radiol,2001,16,179,48,0.01183432
Br J Radiol,2002,18,155,47,0.020148462
Br J Radiol,2003,30,138,98,0.0375
Br J Radiol,2004,22,206,108,0.029232643
Br J Radiol,2005,9,216,32,0.018359853
Br J Radiol,2006,21,212,66,0.039766082
Br J Radiol,2007,14,248,31,0.016357688
Br J Radiol,2008,10,225,23,0.007905138
Br J Radiol,2009,8,222,11,0.004901961
Br J Radiol,2010,11,208,36,0.025641026
Br J Radiol,2011,11,244,16,0.007
Br J Radiol,2012,17,398,32,0.019133938
Br J Radiol,2013,5,145,5,0.004266212
Br J Radiol,2014,13,212,29,0.02310536
Br J Radiol,2015,5,292,6,0.004625347
Br J Sports Med,1999,2,109,8,0.005319149
Br J Sports Med,2000,3,119,6,0.002277904
Br J Sports Med,2001,6,87,8,0.002040816
Br J Sports Med,2003,9,120,13,0.007575758
Br J Sports Med,2004,12,187,13,0.003669725
Br J Sports Med,2005,11,216,19,0.009708738
Br J Sports Med,2006,14,209,23,0.013477089
Br J Sports Med,2007,16,187,40,0.017321016
Br J Sports Med,2008,7,167,19,0.008629989
Br J Sports Med,2009,8,209,8,0.002224694
Br J Sports Med,2010,4,196,5,0.004504505
Br J Sports Med,2011,6,203,6,0.003464203
Br J Sports Med,2012,2,204,3,0.002229654
Br J Sports Med,2013,3,203,4,0.003164557
Br J Sports Med,2014,3,265,4,0.004136505
Br J Sports Med,2015,4,251,7,0.006505576
Br J Surg,1999,26,331,80,0.004331088
Br J Surg,2000,20,310,87,0.00871348
Br J Surg,2001,25,233,210,0.025344353
Br J Surg,2002,19,227,520,0.037400368
Br J Surg,2003,22,220,77,0.016806723
Br J Surg,2004,24,218,81,0.016949153
Br J Surg,2005,16,226,44,0.009916095
Br J Surg,2006,14,204,27,0.006299213
Br J Surg,2007,7,225,11,0.003308519
Br J Surg,2008,14,203,68,0.012733447
Br J Surg,2009,10,194,14,0.0069869
Br J Surg,2010,13,255,33,0.007319305
Br J Surg,2011,13,243,16,0.009640666
Br J Surg,2012,10,288,10,0.003442341
Br J Surg,2013,7,274,13,0.008156607
Br J Surg,2014,4,257,9,0.00608828
Br J Surg,2015,5,225,7,0.00390625
Br. J. Biomed. Sci.,1999,7,35,48,0.027322404
Br. J. Biomed. Sci.,2000,6,39,15,0.022099448
Br. J. Biomed. Sci.,2001,6,38,10,0.021390374
Br. J. Biomed. Sci.,2002,7,48,11,0.02688172
Br. J. Biomed. Sci.,2003,7,44,40,0.102941176
Br. J. Biomed. Sci.,2004,5,41,6,0.014218009
Br. J. Biomed. Sci.,2006,3,38,4,0.004975124
Br. J. Biomed. Sci.,2007,2,39,2,0.005434783
Br. J. Biomed. Sci.,2008,3,42,6,0.029069767
Br. J. Biomed. Sci.,2009,3,35,6,0.029761905
Br. J. Biomed. Sci.,2011,3,38,5,0.023809524
Br. J. Cancer,1999,272,545,847,0.096465696
Br. J. Cancer,2000,194,394,1283,0.065909923
Br. J. Cancer,2001,183,419,1353,0.089265954
Br. J. Cancer,2002,185,359,628,0.061394005
Br. J. Cancer,2003,222,477,727,0.077327327
Br. J. Cancer,2004,225,484,856,0.112333071
Br. J. Cancer,2005,186,365,774,0.093843844
Br. J. Cancer,2006,185,354,608,0.098398169
Br. J. Cancer,2007,169,371,578,0.087222647
Br. J. Cancer,2008,169,460,517,0.101923864
Br. J. Cancer,2009,173,405,488,0.104016913
Br. J. Cancer,2010,137,351,375,0.093383585
Br. J. Cancer,2011,123,420,290,0.074818298
Br. J. Cancer,2012,110,453,263,0.067659574
Br. J. Cancer,2013,113,586,227,0.06485539
Br. J. Cancer,2014,95,542,209,0.068923328
Br. J. Cancer,2015,56,429,108,0.032529659
Br. J. Dermatol.,1999,65,295,181,0.017053529
Br. J. Dermatol.,2000,53,319,202,0.014731369
Br. J. Dermatol.,2001,76,277,261,0.028818444
Br. J. Dermatol.,2002,67,294,195,0.019918699
Br. J. Dermatol.,2003,79,306,227,0.026017625
Br. J. Dermatol.,2004,86,252,301,0.043233895
Br. J. Dermatol.,2005,74,294,177,0.028266914
Br. J. Dermatol.,2006,48,308,106,0.016902695
Br. J. Dermatol.,2007,78,280,184,0.036297641
Br. J. Dermatol.,2008,55,279,120,0.022958057
Br. J. Dermatol.,2009,66,316,160,0.03334796
Br. J. Dermatol.,2010,52,313,107,0.029596413
Br. J. Dermatol.,2011,46,335,77,0.025768535
Br. J. Dermatol.,2012,44,352,74,0.023143684
Br. J. Dermatol.,2013,36,336,76,0.023065834
Br. J. Dermatol.,2014,24,402,34,0.011904762
Br. J. Dermatol.,2015,21,428,37,0.01272149
Br. J. Haematol.,1999,128,478,408,0.035568275
Br. J. Haematol.,2000,135,451,469,0.041650598
Br. J. Haematol.,2001,127,488,389,0.053070508
Br. J. Haematol.,2002,120,498,300,0.039393939
Br. J. Haematol.,2003,115,441,316,0.035806571
Br. J. Haematol.,2004,94,320,375,0.048990277
Br. J. Haematol.,2005,86,352,333,0.024458701
Br. J. Haematol.,2006,84,288,262,0.029552369
Br. J. Haematol.,2007,83,306,211,0.036982968
Br. J. Haematol.,2008,99,296,306,0.068522484
Br. J. Haematol.,2009,78,298,185,0.053769109
Br. J. Haematol.,2010,65,272,191,0.047114876
Br. J. Haematol.,2011,43,268,105,0.037597911
Br. J. Haematol.,2012,37,262,92,0.0342827
Br. J. Haematol.,2013,53,290,138,0.066485014
Br. J. Haematol.,2014,41,308,94,0.036936448
Br. J. Haematol.,2015,26,345,74,0.031703385
Br. J. Nutr.,1999,31,120,87,0.015503876
Br. J. Nutr.,2000,50,205,161,0.041411043
Br. J. Nutr.,2001,32,178,75,0.022696929
Br. J. Nutr.,2002,60,173,216,0.055766793
Br. J. Nutr.,2003,33,198,127,0.029919448
Br. J. Nutr.,2004,48,201,177,0.044210526
Br. J. Nutr.,2005,61,215,133,0.047669492
Br. J. Nutr.,2006,51,287,156,0.047666336
Br. J. Nutr.,2007,54,294,112,0.048343778
Br. J. Nutr.,2008,57,317,130,0.046266234
Br. J. Nutr.,2009,64,431,101,0.039027982
Br. J. Nutr.,2010,61,403,136,0.044965168
Br. J. Nutr.,2011,55,429,119,0.039273154
Br. J. Nutr.,2012,56,478,109,0.042071197
Br. J. Nutr.,2013,45,474,68,0.023633678
Br. J. Nutr.,2014,39,412,59,0.024817518
Br. J. Nutr.,2015,21,432,25,0.010284035
Br. J. Pharmacol.,1999,211,496,664,0.055369128
Br. J. Pharmacol.,2000,215,509,847,0.063308373
Br. J. Pharmacol.,2001,211,387,698,0.070506108
Br. J. Pharmacol.,2002,163,371,623,0.055045872
Br. J. Pharmacol.,2003,183,342,678,0.085592564
Br. J. Pharmacol.,2004,128,295,620,0.089700997
Br. J. Pharmacol.,2005,112,269,417,0.071292776
Br. J. Pharmacol.,2006,143,260,500,0.102917772
Br. J. Pharmacol.,2007,131,279,533,0.111428571
Br. J. Pharmacol.,2008,187,344,863,0.233846154
Br. J. Pharmacol.,2009,137,327,532,0.137514384
Br. J. Pharmacol.,2010,127,361,416,0.10606889
Br. J. Pharmacol.,2011,131,311,424,0.113943809
Br. J. Pharmacol.,2012,135,408,385,0.102030457
Br. J. Pharmacol.,2013,82,341,192,0.054244098
Br. J. Pharmacol.,2014,79,338,144,0.059907834
Br. J. Pharmacol.,2015,71,358,129,0.055791711
Br. Med. Bull.,1999,9,52,19,0.018248175
Br. Med. Bull.,2000,18,63,70,0.084558824
Br. Med. Bull.,2001,11,47,57,0.070422535
Br. Med. Bull.,2002,19,45,46,0.039426523
Br. Med. Bull.,2003,22,53,54,0.071698113
Br. Med. Bull.,2004,8,33,16,0.010791367
Br. Med. Bull.,2005,5,14,14,0.012605042
Br. Med. Bull.,2006,4,12,12,0.010050251
Br. Med. Bull.,2008,11,28,43,0.168224299
Br. Med. Bull.,2009,5,32,20,0.057142857
Br. Med. Bull.,2010,6,38,16,0.089430894
Br. Med. Bull.,2011,7,41,8,0.033112583
Br. Med. Bull.,2012,3,36,3,0.017857143
Br. Med. Bull.,2013,7,33,13,0.05952381
Br. Med. Bull.,2014,1,34,2,0.011695906
Br. Med. Bull.,2015,2,50,2,0.012195122
Br. Poult. Sci.,2000,7,85,12,0.004132231
Br. Poult. Sci.,2001,5,85,9,0.012269939
Br. Poult. Sci.,2002,5,77,5,0.002079002
Br. Poult. Sci.,2003,11,129,17,0.014388489
Br. Poult. Sci.,2004,4,149,5,0.004842615
Br. Poult. Sci.,2005,6,97,12,0.010570825
Br. Poult. Sci.,2007,7,85,10,0.010121457
Br. Poult. Sci.,2008,6,90,7,0.006741573
Br. Poult. Sci.,2009,3,83,4,0.005181347
Br. Poult. Sci.,2010,2,103,2,0.002688172
Br. Poult. Sci.,2011,4,94,4,0.0078125
Br. Poult. Sci.,2012,3,102,4,0.01025641
Br. Poult. Sci.,2013,3,96,3,0.005012531
Br. Poult. Sci.,2015,3,90,3,0.007281553
Brachytherapy,2009,2,49,2,0.006493506
Brachytherapy,2010,4,56,6,0.017751479
Brachytherapy,2011,2,76,9,0.025641026
Brachytherapy,2014,3,78,3,0.009433962
Brain Behav,2014,1,83,1,0.006410256
Brain Behav,2015,3,105,3,0.012345679
Brain Behav. Immun.,1999,3,26,13,0.093220339
Brain Behav. Immun.,2000,2,16,14,0.034482759
Brain Behav. Immun.,2001,7,13,15,0.086538462
Brain Behav. Immun.,2002,8,53,12,0.050505051
Brain Behav. Immun.,2003,7,58,8,0.007518797
Brain Behav. Immun.,2004,9,52,16,0.040697674
Brain Behav. Immun.,2005,4,60,7,0.009259259
Brain Behav. Immun.,2006,10,57,27,0.023076923
Brain Behav. Immun.,2007,20,98,44,0.04494382
Brain Behav. Immun.,2008,24,119,47,0.046728972
Brain Behav. Immun.,2009,25,117,49,0.062034739
Brain Behav. Immun.,2010,30,127,59,0.064315353
Brain Behav. Immun.,2011,24,182,35,0.036458333
Brain Behav. Immun.,2012,11,143,26,0.022624434
Brain Behav. Immun.,2013,15,177,31,0.034175334
Brain Behav. Immun.,2014,13,199,20,0.016551724
Brain Behav. Immun.,2015,18,229,52,0.042471042
Brain Cell Biol,2008,6,10,83,1.9
Brain Cogn,2000,4,178,12,0.012195122
Brain Cogn,2002,4,169,5,0.004640371
Brain Cogn,2004,4,165,6,0.001582278
Brain Cogn,2006,5,96,19,0.017828201
Brain Cogn,2007,4,80,4,0.003669725
Brain Cogn,2008,5,103,10,0.010416667
Brain Cogn,2009,2,156,4,0.007142857
Brain Cogn,2010,3,127,3,0.006521739
Brain Cogn,2011,2,145,2,0.00204918
Brain Cogn,2012,2,94,2,0.003629764
Brain Cogn,2013,1,121,1,0.001858736
Brain Dev.,1999,4,89,16,0.00280112
Brain Dev.,2000,5,107,10,0.008241758
Brain Dev.,2001,17,162,51,0.033333333
Brain Dev.,2002,3,72,4,0.004192872
Brain Dev.,2003,4,99,9,0.004115226
Brain Dev.,2004,5,94,10,0.006060606
Brain Dev.,2005,12,112,17,0.00625
Brain Dev.,2006,9,118,30,0.01891253
Brain Dev.,2008,6,100,16,0.006160164
Brain Dev.,2009,9,120,15,0.012170385
Brain Dev.,2010,7,136,9,0.015936255
Brain Dev.,2011,4,127,6,0.007662835
Brain Dev.,2012,4,139,13,0.014814815
Brain Dev.,2013,4,128,4,0.005172414
Brain Dev.,2014,1,142,1,0.00170068
Brain Dev.,2015,1,153,4,0.006802721
Brain Imaging Behav,2010,1,23,1,0.024390244
Brain Imaging Behav,2011,1,29,1,0.015384615
Brain Imaging Behav,2012,9,38,17,0.141304348
Brain Imaging Behav,2014,3,53,6,0.032467532
Brain Imaging Behav,2015,2,73,2,0.010638298
Brain Inj,1999,2,90,4,0.008849558
Brain Inj,2000,3,89,6,0.002785515
Brain Inj,2002,3,85,4,0.007853403
Brain Inj,2003,1,88,7,0.00536193
Brain Inj,2004,3,96,7,0.005390836
Brain Inj,2006,5,147,5,0.004842615
Brain Inj,2008,7,107,10,0.00754717
Brain Inj,2009,5,120,5,0.003676471
Brain Inj,2010,6,132,10,0.009310987
Brain Inj,2011,3,136,4,0.007619048
Brain Inj,2012,4,123,6,0.007633588
Brain Inj,2013,2,206,2,0.001851852
Brain Inj,2014,3,176,3,0.004784689
Brain Inj,2015,8,207,8,0.00748503
Brain Lang,2000,4,158,5,0.002309469
Brain Lang,2001,1,99,7,0.001953125
Brain Lang,2010,1,74,1,0.003076923
Brain Lang,2011,2,68,16,0.029605263
Brain Lang,2012,2,116,3,0.00330033
Brain Lang,2013,2,145,3,0.008902077
Brain Pathol.,1999,24,39,124,0.146788991
Brain Pathol.,2000,15,37,65,0.075313808
Brain Pathol.,2001,6,44,24,0.012396694
Brain Pathol.,2002,13,45,31,0.04
Brain Pathol.,2003,11,54,39,0.03930131
Brain Pathol.,2004,16,43,87,0.111587983
Brain Pathol.,2005,13,28,35,0.0625
Brain Pathol.,2006,10,25,44,0.0375
Brain Pathol.,2007,18,36,41,0.102222222
Brain Pathol.,2008,15,38,51,0.1
Brain Pathol.,2009,15,51,44,0.087866109
Brain Pathol.,2010,20,83,48,0.094545455
Brain Pathol.,2011,9,45,11,0.017191977
Brain Pathol.,2012,11,60,17,0.030898876
Brain Pathol.,2013,6,67,12,0.02972973
Brain Pathol.,2014,5,66,12,0.026809651
Brain Res Cogn Brain Res,1999,2,59,3,0.005882353
Brain Res Cogn Brain Res,2000,4,56,6,0.004784689
Brain Res Cogn Brain Res,2001,3,99,3,0.010471204
Brain Res Cogn Brain Res,2003,8,147,16,0.006349206
Brain Res Cogn Brain Res,2004,7,144,8,0.009779951
Brain Res Cogn Brain Res,2005,7,222,10,0.005988024
Brain Res Rev,2007,23,83,81,0.564102564
Brain Res Rev,2008,18,93,64,0.15862069
Brain Res Rev,2009,25,44,153,0.276264591
Brain Res Rev,2010,11,34,14,0.024390244
Brain Res Rev,2011,8,34,14,0.023880597
Brain Res. Brain Res. Protoc.,1999,11,52,21,0.03125
Brain Res. Brain Res. Protoc.,2000,10,43,20,0.031413613
Brain Res. Brain Res. Protoc.,2001,12,64,18,0.016393443
Brain Res. Brain Res. Protoc.,2003,5,35,28,0.025862069
Brain Res. Brain Res. Protoc.,2004,5,34,33,0.014018692
Brain Res. Brain Res. Protoc.,2005,9,35,17,0.02
Brain Res. Bull.,1999,35,198,123,0.02027027
Brain Res. Bull.,2000,28,224,61,0.012820513
Brain Res. Bull.,2001,38,219,97,0.033190578
Brain Res. Bull.,2002,27,208,93,0.02593361
Brain Res. Bull.,2003,27,157,72,0.023232323
Brain Res. Bull.,2004,19,123,62,0.029692471
Brain Res. Bull.,2005,34,221,119,0.083832335
Brain Res. Bull.,2006,31,188,75,0.036231884
Brain Res. Bull.,2007,18,144,45,0.023514851
Brain Res. Bull.,2008,21,240,29,0.024173028
Brain Res. Bull.,2009,17,166,44,0.025386313
Brain Res. Bull.,2010,28,160,74,0.053699284
Brain Res. Bull.,2011,10,171,20,0.00982801
Brain Res. Bull.,2012,9,161,13,0.005995204
Brain Res. Bull.,2013,10,126,13,0.012162162
Brain Res. Bull.,2014,6,108,7,0.010159652
Brain Res. Bull.,2015,5,93,8,0.009836066
Brain Res. Dev. Brain Res.,1999,13,173,40,0.005773672
Brain Res. Dev. Brain Res.,2000,11,160,17,0.004796163
Brain Res. Dev. Brain Res.,2001,19,145,29,0.010088272
Brain Res. Dev. Brain Res.,2002,21,118,55,0.021447721
Brain Res. Dev. Brain Res.,2003,23,153,73,0.03030303
Brain Res. Dev. Brain Res.,2004,15,134,31,0.02
Brain Res. Dev. Brain Res.,2005,12,145,26,0.00955414
Brain Res. Mol. Brain Res.,1999,86,260,220,0.057580175
Brain Res. Mol. Brain Res.,2000,58,244,131,0.032775453
Brain Res. Mol. Brain Res.,2001,45,226,95,0.020289855
Brain Res. Mol. Brain Res.,2002,47,178,90,0.023382697
Brain Res. Mol. Brain Res.,2003,56,190,91,0.032342657
Brain Res. Mol. Brain Res.,2004,42,221,102,0.034482759
Brain Res. Mol. Brain Res.,2005,57,240,116,0.046766169
Brain Res.,1999,219,1150,659,0.025702536
Brain Res.,2000,216,1169,659,0.026570048
Brain Res.,2001,166,1021,491,0.021765628
Brain Res.,2002,150,815,384,0.02037071
Brain Res.,2003,152,957,359,0.024648605
Brain Res.,2004,162,875,459,0.030974403
Brain Res.,2005,125,795,321,0.026744186
Brain Res.,2006,172,1226,410,0.041160426
Brain Res.,2007,143,1083,333,0.034698903
Brain Res.,2008,127,1060,359,0.035776614
Brain Res.,2009,115,939,247,0.02615482
Brain Res.,2010,112,1016,251,0.032581967
Brain Res.,2011,85,854,150,0.018859744
Brain Res.,2012,64,717,123,0.015238975
Brain Res.,2013,39,598,83,0.012738854
Brain Res.,2014,34,528,43,0.009697661
Brain Res.,2015,29,646,34,0.00987066
Brain Stimul,2009,8,19,10,0.102564103
Brain Stimul,2010,4,22,35,0.186666667
Brain Stimul,2011,6,34,59,0.297297297
Brain Stimul,2012,9,70,27,0.129032258
Brain Stimul,2013,16,114,38,0.131707317
Brain Stimul,2014,12,105,36,0.098214286
Brain Stimul,2015,9,117,21,0.07775378
Brain Struct Funct,2008,3,27,4,0.041666667
Brain Struct Funct,2009,4,25,4,0.072727273
Brain Struct Funct,2010,10,40,63,0.287356322
Brain Struct Funct,2011,2,40,2,0.014388489
Brain Struct Funct,2012,4,51,11,0.01910828
Brain Struct Funct,2013,4,98,5,0.022099448
Brain Struct Funct,2014,1,146,2,0.003952569
Brain Struct Funct,2015,3,244,4,0.005730659
Brain Topogr,2004,3,26,6,0.010752688
Brain Topogr,2005,3,18,5,0.04
Brain Topogr,2007,3,14,5,0.010752688
Brain Topogr,2008,2,27,3,0.011363636
Brain Topogr,2009,4,31,4,0.011494253
Brain Topogr,2010,6,36,8,0.058823529
Brain Topogr,2012,2,38,2,0.013422819
Brain Topogr,2013,3,51,3,0.0125
Brain Topogr,2015,3,72,4,0.014778325
Brain Tumor Pathol,2010,1,19,1,0.015873016
Brain Tumor Pathol,2011,1,50,1,0.015151515
Brain Tumor Pathol,2015,1,38,1,0.005747126
Brain,1999,37,142,132,0.032159265
Brain,2000,53,152,144,0.042995839
Brain,2001,53,151,178,0.035294118
Brain,2002,62,154,223,0.06019656
Brain,2003,63,164,331,0.104895105
Brain,2004,71,172,234,0.067180617
Brain,2005,70,203,214,0.06448203
Brain,2006,77,213,320,0.114285714
Brain,2007,86,199,212,0.058769513
Brain,2008,91,197,259,0.093368237
Brain,2009,75,229,250,0.101001669
Brain,2010,75,231,166,0.078651685
Brain,2011,60,234,163,0.073610023
Brain,2012,63,237,167,0.07816092
Brain,2013,53,255,91,0.044876589
Brain,2014,41,255,90,0.054034049
Brain,2015,27,286,48,0.027798098
Bratisl Lek Listy,2009,3,171,5,0.004474273
Bratisl Lek Listy,2011,1,146,1,0.001709402
Bratisl Lek Listy,2012,2,157,2,0.003220612
Bratisl Lek Listy,2013,4,143,4,0.004716981
Bratisl Lek Listy,2014,1,146,1,0.001636661
Bratisl Lek Listy,2015,3,140,11,0.006472492
Braz J Biol,2010,1,155,1,0.001782531
Braz J Biol,2012,1,124,2,0.001808318
Braz J Infect Dis,2009,4,98,6,0.007075472
Braz J Infect Dis,2010,3,117,3,0.004385965
Braz J Infect Dis,2011,5,105,6,0.009940358
Braz J Infect Dis,2012,4,104,5,0.00804829
Braz J Infect Dis,2013,2,106,2,0.003891051
Braz J Infect Dis,2014,3,111,3,0.005434783
Braz J Infect Dis,2015,1,105,1,0.001821494
Braz J Otorhinolaryngol,2012,3,138,8,0.008103728
Braz J Psychiatry,2008,2,66,18,0.004914005
Braz J Psychiatry,2012,3,60,6,0.00486618
Braz J Psychiatry,2013,4,69,9,0.017412935
Braz J Psychiatry,2015,2,45,2,0.005449591
Braz Oral Res,2014,1,78,1,0.002785515
Braz Oral Res,2015,2,115,2,0.005586592
Braz. J. Med. Biol. Res.,1999,32,173,104,0.029904306
Braz. J. Med. Biol. Res.,2000,28,157,99,0.019836639
Braz. J. Med. Biol. Res.,2001,28,170,51,0.02864259
Braz. J. Med. Biol. Res.,2002,26,162,49,0.013784461
Braz. J. Med. Biol. Res.,2003,27,194,91,0.048469388
Braz. J. Med. Biol. Res.,2004,19,215,54,0.026282854
Braz. J. Med. Biol. Res.,2005,33,190,62,0.031877214
Braz. J. Med. Biol. Res.,2006,23,169,54,0.01836969
Braz. J. Med. Biol. Res.,2007,16,183,28,0.019428571
Braz. J. Med. Biol. Res.,2008,8,166,9,0.004689332
Braz. J. Med. Biol. Res.,2009,12,169,21,0.01511335
Braz. J. Med. Biol. Res.,2010,12,158,19,0.013333333
Braz. J. Med. Biol. Res.,2011,10,163,14,0.012379642
Braz. J. Med. Biol. Res.,2012,9,174,10,0.012857143
Braz. J. Med. Biol. Res.,2013,3,139,3,0.004237288
Braz. J. Med. Biol. Res.,2014,10,135,10,0.008982036
Braz. J. Med. Biol. Res.,2015,5,151,6,0.00622084
Braz. J. Microbiol.,2008,16,128,26,10
Braz. J. Microbiol.,2009,12,132,13,0.055172414
Braz. J. Microbiol.,2010,16,128,31,0.055363322
Braz. J. Microbiol.,2011,16,184,21,0.030092593
Braz. J. Microbiol.,2012,16,184,26,0.033227848
Braz. J. Microbiol.,2013,16,177,24,0.021802326
Braz. J. Microbiol.,2014,13,189,21,0.018995929
Braz. J. Microbiol.,2015,9,151,9,0.008805031
Breast Cancer Res. Treat.,1999,51,111,172,0.088695652
Breast Cancer Res. Treat.,2000,41,109,103,0.05
Breast Cancer Res. Treat.,2001,34,118,104,0.04361874
Breast Cancer Res. Treat.,2002,38,135,101,0.049766719
Breast Cancer Res. Treat.,2003,56,139,190,0.090490798
Breast Cancer Res. Treat.,2004,55,117,223,0.102040816
Breast Cancer Res. Treat.,2005,54,166,151,0.047752809
Breast Cancer Res. Treat.,2006,63,168,164,0.072796935
Breast Cancer Res. Treat.,2007,59,191,180,0.089201878
Breast Cancer Res. Treat.,2008,69,263,130,0.067982456
Breast Cancer Res. Treat.,2009,84,322,212,0.102846648
Breast Cancer Res. Treat.,2010,107,446,315,0.125096525
Breast Cancer Res. Treat.,2011,91,484,179,0.0599022
Breast Cancer Res. Treat.,2012,117,526,203,0.065704331
Breast Cancer Res. Treat.,2013,60,379,121,0.037403267
Breast Cancer Res. Treat.,2014,42,354,68,0.022108844
Breast Cancer Res. Treat.,2015,31,379,43,0.013748854
Breast Cancer Res.,2002,11,39,32,0.065789474
Breast Cancer Res.,2003,35,47,133,0.214953271
Breast Cancer Res.,2004,44,66,188,0.24
Breast Cancer Res.,2005,71,109,246,0.256198347
Breast Cancer Res.,2006,44,60,164,0.118012422
Breast Cancer Res.,2007,59,59,205,0.135338346
Breast Cancer Res.,2008,54,101,162,0.14920071
Breast Cancer Res.,2009,46,85,164,0.14796748
Breast Cancer Res.,2010,58,108,161,0.129757785
Breast Cancer Res.,2011,64,113,173,0.171993912
Breast Cancer Res.,2012,56,135,119,0.114799447
Breast Cancer Res.,2013,47,107,118,0.104221636
Breast Cancer Res.,2014,40,151,87,0.097150259
Breast Cancer Res.,2015,28,111,43,0.039440204
Breast Cancer,2010,3,49,4,0.012396694
Breast Cancer,2011,1,50,1,0.004255319
Breast Cancer,2013,2,51,5,0.01793722
Breast Cancer,2014,4,104,4,0.013392857
Breast Cancer,2015,9,79,12,0.032258065
Breast Care (Basel),2009,3,45,8,0.064102564
Breast Care (Basel),2010,5,49,21,0.085714286
Breast Care (Basel),2011,2,52,3,0.004694836
Breast Care (Basel),2012,4,53,6,0.010791367
Breast Care (Basel),2013,4,49,4,0.003690037
Breast Care (Basel),2014,2,58,2,0.00729927
Breast J,2008,5,108,12,0.006259781
Breast J,2010,2,121,5,0.007886435
Breast J,2011,3,104,3,0.004731861
Breast J,2012,3,111,3,0.003149606
Breast J,2014,3,101,6,0.0078125
Breast,2001,2,85,2,0.01754386
Breast,2002,4,76,5,0.00990099
