Institution Name,Year,Number of Patent-Cited Articles,Number of Non-Patent-Cited Articles,Total Number of Unique Patent Family Citations,Patent Impact Factor,NIH Funding,Institution Type
Harris Health System,2009,200,1111,1148,0.064850843,202184510,Healthcare
Harris Health System,2011,183,1193,979,0.075646105,207607688,Healthcare
Harris Health System,2003,351,1072,1842,0.063780441,249559238,Healthcare
Harris Health System,2014,122,1289,465,0.06276901,192711873,Healthcare
Harris Health System,2005,304,1105,1968,0.065331168,256809346,Healthcare
Harris Health System,2015,101,1395,266,0.038029386,231028693,Healthcare
Harris Health System,2002,298,1038,1866,0.070125659,251934584,Healthcare
Harris Health System,2000,324,1025,1735,0.077682686,170102219,Healthcare
Harris Health System,2007,245,1092,1211,0.04917166,211774568,Healthcare
Hartford Hospital,2011,3,69,14,0.006644518,2388698,Healthcare
Hartford Hospital,2006,5,46,15,0.020761246,3342943,Healthcare
Hartford Hospital,2008,6,67,14,0.003436426,3161554,Healthcare
Hartford Hospital,2010,5,48,21,0.033444816,3419068,Healthcare
Hartford Hospital,2005,7,59,14,0.013468013,2605752,Healthcare
Hartford Hospital,2007,7,82,24,0.021818182,2673394,Healthcare
Hartford Hospital,2009,4,77,10,0.007092199,3181581,Healthcare
Hartford Hospital,2004,6,78,126,0.049469965,800627,Healthcare
Harvard University,2014,239,1574,1814,0.136914428,424115955,Education
Harvard University,2002,537,1206,5516,0.166407465,327778039,Education
Harvard University,2008,463,1482,4344,0.171802054,400847026,Education
Harvard University,2006,508,1396,3969,0.137458007,380194692,Education
Harvard University,2001,513,1257,5496,0.172210388,314910745,Education
Harvard University,2009,395,1510,3018,0.146622951,414428748,Education
Harvard University,2012,347,1695,2169,0.144126739,442590215,Education
Harvard University,2010,399,1435,2788,0.148980387,449047600,Education
Harvard University,2011,374,1610,2500,0.146820204,438961225,Education
Harvard University,2004,537,1296,4431,0.125745889,386634322,Education
Harvard University,2003,478,1195,5368,0.135867126,360299048,Education
Harvard University,2015,181,1909,1273,0.108325099,402696680,Education
Harvard University,2005,503,1341,4508,0.130287169,380714806,Education
Harvard University,2013,294,1716,3972,0.246437659,415913914,Education
Harvard University,2007,462,1406,3568,0.131024096,381453575,Education
Harvard University,2000,511,1128,4978,0.145539906,291829287,Education
Hauptman-Woodward Medical Research Institute,2006,4,3,27,0.380952381,5244274,Nonprofit
Hauptman-Woodward Medical Research Institute,2008,1,9,1,0.035714286,4862806,Nonprofit
Hauptman-Woodward Medical Research Institute,2007,5,5,19,0.208333333,4434534,Nonprofit
Hauptman-Woodward Medical Research Institute,2014,0,5,0,0.034482759,2231295,Nonprofit
Hauptman-Woodward Medical Research Institute,2009,2,6,4,0.088235294,4433744,Nonprofit
Hauptman-Woodward Medical Research Institute,2002,1,3,1,0.023255814,1904123,Nonprofit
Hauptman-Woodward Medical Research Institute,2001,2,6,5,0.019230769,2432618,Nonprofit
Hauptman-Woodward Medical Research Institute,2013,0,8,0,0.034482759,2594518,Nonprofit
Haverford College,2012,2,10,5,0.1,653765,Education
Haverford College,2000,2,4,3,0.052631579,18750,Education
Haverford College,2010,1,16,15,0.176470588,407624,Education
Haverford College,2004,1,10,16,0.033333333,184916,Education
Haverford College,2011,1,14,2,0.066666667,126198,Education
Hawaii Pacific University,2008,1,0,1,0.090909091,162373,Education
Hektoen Institute,2010,4,2,10,0.222222222,4904059,Nonprofit
Hektoen Institute,2000,1,1,2,0.055555556,2220517,Nonprofit
Hektoen Institute,2003,1,0,3,0.1,5480061,Nonprofit
Hektoen Institute,2005,1,4,3,0.125,4502580,Nonprofit
Hektoen Institute,2007,1,2,4,0.090909091,3436581,Nonprofit
Henry Ford Health System,2014,19,265,33,0.01598721,15007021,Nonprofit
Henry Ford Health System,2002,23,162,167,0.053246753,19301776,Nonprofit
Henry Ford Health System,2009,27,232,117,0.046838407,16483028,Nonprofit
Henry Ford Health System,2003,34,149,236,0.072273325,18610154,Nonprofit
Henry Ford Health System,2012,20,333,51,0.046040516,15535957,Nonprofit
Henry Ford Health System,2011,20,271,87,0.033333333,15603332,Nonprofit
Henry Ford Health System,2006,34,179,84,0.039617486,22399333,Nonprofit
Henry Ford Health System,2004,24,167,121,0.027741083,25816239,Nonprofit
Henry Ford Health System,2000,37,150,279,0.051282051,19954866,Nonprofit
Henry Ford Health System,2010,39,248,88,0.042328042,14948176,Nonprofit
Henry Ford Health System,2013,23,284,66,0.031719533,20213029,Nonprofit
Henry Ford Health System,2015,8,287,15,0.011737089,14656374,Nonprofit
Henry Ford Health System,2008,29,215,105,0.031289111,19023270,Nonprofit
Henry Ford Health System,2005,26,141,86,0.040843215,21954702,Nonprofit
Henry Ford Health System,2001,34,160,130,0.030144168,18861102,Nonprofit
Henry Ford Health System,2007,29,192,93,0.038208169,21576234,Nonprofit
Henry M. Jackson Foundation,2012,3,17,6,0.043478261,35200931,Nonprofit
Henry M. Jackson Foundation,2009,3,7,14,0.192307692,24564476,Nonprofit
Henry M. Jackson Foundation,2005,1,4,6,0.064516129,17073990,Nonprofit
Henry M. Jackson Foundation,2007,4,4,31,0.56,14636740,Nonprofit
Henry M. Jackson Foundation,2015,4,57,7,0.031914894,22227228,Nonprofit
Henry M. Jackson Foundation,2003,2,4,21,0.032786885,24789838,Nonprofit
Henry M. Jackson Foundation,2006,1,6,27,0.36,39944534,Nonprofit
Henry M. Jackson Foundation,2004,3,4,10,0.055555556,30355458,Nonprofit
Henry M. Jackson Foundation,2014,4,29,8,0.081081081,12384808,Nonprofit
Henry M. Jackson Foundation,2011,0,15,0,0.026315789,27237875,Nonprofit
Henry M. Jackson Foundation,2013,1,22,2,0.016393443,32559233,Nonprofit
Henry M. Jackson Foundation,2001,4,7,13,0.068493151,14422859,Nonprofit
Henry M. Jackson Foundation,2000,5,6,75,0.133333333,15777828,Nonprofit
Henry M. Jackson Foundation,2008,2,4,8,0.074074074,17206509,Nonprofit
Henry M. Jackson Foundation,2010,2,12,2,0.032258065,26161443,Nonprofit
Hepatitis B Foundation,2007,1,0,7,1,30000,Nonprofit
Hepatitis B Foundation,2012,1,0,7,3,5000,Nonprofit
Hepatitis B Foundation,2015,2,0,12,0.5,5000,Nonprofit
Hope College,2002,1,3,3,0.0625,102317,Education
Hope College,2011,1,18,1,0.020408163,74830,Education
House Clinic,2009,1,3,1,0.055555556,6226721,Nonprofit
House Clinic,2008,1,4,29,0.923076923,6069140,Nonprofit
Houston Methodist,2014,29,160,75,1.191489362,13757925,Healthcare
Houston Methodist,2015,16,184,36,0.117870722,11774363,Healthcare
Howard University,2012,7,115,21,0.026595745,7374981,Education
Howard University,2000,6,58,17,0.008,16151206,Education
Howard University,2011,8,108,16,0.029325513,7905564,Education
Howard University,2014,7,92,8,0.015909091,10124195,Education
Howard University,2006,8,82,32,0.017191977,22220935,Education
Howard University,2001,6,57,15,0.015873016,17320558,Education
Howard University,2009,10,71,35,0.025495751,13411092,Education
Howard University,2007,7,74,16,0.013850416,18475567,Education
Howard University,2005,10,88,16,0.022292994,22619328,Education
Howard University,2010,4,90,8,0.014792899,8286211,Education
Howard University,2008,5,76,11,0.020231214,16269221,Education
Howard University,2002,9,71,43,0.016,20873253,Education
Howard University,2004,14,60,165,0.036184211,27528485,Education
Howard University,2013,10,95,19,0.019138756,8290778,Education
Howard University,2003,16,79,66,0.048507463,23882017,Education
HudsonAlpha Institute for Biotechnology,2013,2,2,2,0.214285714,8472909,Nonprofit
HudsonAlpha Institute for Biotechnology,2009,1,1,4,0.5,3985643,Nonprofit
HudsonAlpha Institute for Biotechnology,2015,2,4,5,0.222222222,7860027,Nonprofit
HudsonAlpha Institute for Biotechnology,2014,3,1,3,0.3125,5522659,Nonprofit
HudsonAlpha Institute for Biotechnology,2012,2,5,14,1.333333333,8213892,Nonprofit
HudsonAlpha Institute for Biotechnology,2011,1,2,6,0.333333333,6947581,Nonprofit
Huntington Medical Research Institutes,2015,1,2,1,0.037037037,2112552,Nonprofit
Huntington Medical Research Institutes,2000,4,4,27,0.25,991930,Nonprofit
Huntington Medical Research Institutes,2010,5,8,6,0.073170732,1373905,Nonprofit
Huntington Medical Research Institutes,2013,2,7,3,0.026315789,983233,Nonprofit
Huntington Medical Research Institutes,2006,3,9,8,0.16,857987,Nonprofit
Huntington Medical Research Institutes,2005,2,2,9,0.181818182,1556503,Nonprofit
Huntington Medical Research Institutes,2009,3,8,22,0.176470588,2195525,Nonprofit
Huntington Medical Research Institutes,2007,4,6,22,0.266666667,1372346,Nonprofit
Huntington Medical Research Institutes,2004,3,4,8,0.028571429,2246362,Nonprofit
Huntington Medical Research Institutes,2012,2,2,7,0.071428571,668548,Nonprofit
Huntington Medical Research Institutes,2003,2,5,2,0.023255814,1771892,Nonprofit
Idaho State University,2007,2,57,2,0.007462687,598056,Education
Idaho State University,2009,1,42,2,0.005780347,410679,Education
Idaho State University,2015,2,44,2,0.017316017,539505,Education
Idaho State University,2012,2,49,7,0.015625,1077724,Education
Idaho State University,2002,5,26,32,0.060344828,403129,Education
Idaho State University,2006,4,40,7,0.024793388,590122,Education
Idaho State University,2008,3,40,10,0.012345679,506047,Education
Idaho State University,2010,4,56,8,0.015873016,394743,Education
Idaho State University,2013,2,68,2,0.01,366056,Education
IIT Research Institute,2009,1,1,1,0.05,374940,Nonprofit
IIT Research Institute,2010,1,7,3,0.05,374940,Nonprofit
IIT Research Institute,2013,1,5,2,0.058823529,2176134,Nonprofit
IIT Research Institute,2007,1,11,3,0.166666667,630277,Nonprofit
IIT Research Institute,2006,1,1,4,0.25,11589452,Nonprofit
IIT Research Institute,2000,1,4,21,1,1608440,Nonprofit
Illinois Institute of Technology,2006,10,50,33,0.076388889,3058001,Education
Illinois Institute of Technology,2004,12,29,66,0.131313131,3813173,Education
Illinois Institute of Technology,2002,9,18,47,0.086956522,3224800,Education
Illinois Institute of Technology,2014,3,80,9,0.036630037,3561689,Education
Illinois Institute of Technology,2008,11,37,40,0.05,3824013,Education
Illinois Institute of Technology,2015,3,66,3,0.017006803,3137172,Education
Illinois Institute of Technology,2012,13,59,19,0.046808511,4239277,Education
Illinois Institute of Technology,2009,12,46,93,0.173076923,4519143,Education
Illinois Institute of Technology,2007,14,34,37,0.056497175,3141931,Education
Illinois Institute of Technology,2013,9,64,15,0.046511628,7592106,Education
Illinois Institute of Technology,2011,5,58,7,0.018181818,4067302,Education
Illinois Institute of Technology,2003,7,18,25,0.070588235,2785001,Education
Illinois Institute of Technology,2005,10,41,39,0.066666667,4081832,Education
Illinois Institute of Technology,2010,14,50,28,0.055555556,5180419,Education
Illinois State University,2011,2,72,5,0.008438819,965102,Education
Illinois State University,2000,3,26,9,0.009708738,346651,Education
Illinois State University,2009,1,53,5,0.017467249,824631,Education
Illinois State University,2001,3,41,13,0.018348624,565359,Education
Illinois State University,2006,1,47,1,0.003802281,1627306,Education
Illinois State University,2012,4,55,6,0.011583012,858500,Education
Illinois State University,2002,4,64,5,0.032258065,764726,Education
Illinois State University,2015,0,71,0,0.003521127,389164,Education
Illinois State University,2007,3,49,7,0.012345679,1259933,Education
Illinois State University,2008,2,64,4,0.004347826,720197,Education
Illinois State University,2004,4,63,24,0.033816425,695100,Education
Illinois State University,2010,5,59,5,0.004545455,615842,Education
Illinois State University,2014,4,66,6,0.010791367,788180,Education
Illinois State University,2003,6,59,9,0.023668639,557346,Education
Illinois Wesleyan University,2012,1,4,1,0.055555556,285189,Education
Indiana University,2010,210,1352,849,0.056541406,152223830,Education
Indiana University,2005,204,1113,860,0.051959114,137418069,Education
Indiana University,2013,113,1495,461,0.045115171,132841253,Education
Indiana University,2001,190,919,1320,0.058866995,103343054,Education
Indiana University,2004,222,1031,1118,0.056823266,134734332,Education
Indiana University,2002,190,943,873,0.038070466,118516481,Education
Indiana University,2009,195,1284,891,0.05041263,146043697,Education
Indiana University,2000,177,854,802,0.037490627,94527130,Education
Indiana University,2014,101,1466,228,0.023894492,147687255,Education
Indiana University,2012,135,1425,497,0.041847739,146580099,Education
Indiana University,2007,175,1187,944,0.046285492,140222967,Education
Indiana University,2011,194,1421,657,0.055891239,150449103,Education
Indiana University,2003,198,978,805,0.036680422,128754165,Education
Indiana University,2015,71,1515,186,0.023002607,148188130,Education
Indiana University,2008,200,1278,846,0.047788606,141650535,Education
Indiana University,2006,213,1154,939,0.043611168,138759944,Education
Infectious Disease Research Institute,2009,10,2,128,2,1975057,Nonprofit
Infectious Disease Research Institute,2005,3,3,60,1.615384615,6752705,Nonprofit
Infectious Disease Research Institute,2007,5,1,20,0.571428571,1352157,Nonprofit
Infectious Disease Research Institute,2010,8,1,84,1.076923077,2017824,Nonprofit
Infectious Disease Research Institute,2002,5,0,41,0.333333333,1978041,Nonprofit
Infectious Disease Research Institute,2001,3,0,9,0.25,1889636,Nonprofit
Infectious Disease Research Institute,2003,1,2,1,0.090909091,1642973,Nonprofit
Infectious Disease Research Institute,2004,2,0,3,0.142857143,1262843,Nonprofit
Infectious Disease Research Institute,2014,10,8,56,0.955555556,6495222,Nonprofit
Infectious Disease Research Institute,2013,12,2,55,1.023809524,2163163,Nonprofit
Infectious Disease Research Institute,2008,3,2,22,0.176470588,2295697,Nonprofit
Infectious Disease Research Institute,2012,7,2,39,0.657894737,1219824,Nonprofit
Infectious Disease Research Institute,2000,2,1,5,0.125,1809654,Nonprofit
Infectious Disease Research Institute,2015,1,9,2,0.037037037,2803069,Nonprofit
Infectious Disease Research Institute,2011,7,5,89,1.4375,2112763,Nonprofit
Infectious Disease Research Institute,2006,2,1,12,0.1875,2025010,Nonprofit
Institute for Molecular Medicine,2004,4,2,14,0.107142857,334790,Facility
Institute for Molecular Medicine,2003,5,2,12,0.1,325038,Facility
Institute for Molecular Medicine,2014,2,10,4,0.230769231,1293526,Facility
Institute for Molecular Medicine,2010,2,3,5,0.125,377814,Facility
Institute for Molecular Medicine,2001,3,3,8,0.130434783,306379,Facility
Institute for Molecular Medicine,2002,6,3,15,0.185185185,315570,Facility
Institute for Molecular Medicine,2008,8,0,27,0.32,381631,Facility
Institute for Molecular Medicine,2012,1,1,8,0.277777778,373999,Facility
Institute for Molecular Medicine,2011,1,2,2,0.045454545,373999,Facility
Institute for Molecular Medicine,2000,1,5,4,0.105263158,261251,Facility
Institute for Systems Biology,2015,3,32,4,0.020408163,5347423,Nonprofit
Institute for Systems Biology,2008,8,27,40,0.12244898,7816623,Nonprofit
Institute for Systems Biology,2014,6,26,18,0.102040816,6102853,Nonprofit
Institute for Systems Biology,2005,19,15,122,0.316666667,4207658,Nonprofit
Institute for Systems Biology,2009,14,19,89,0.244604317,8872092,Nonprofit
Institute for Systems Biology,2013,5,29,6,0.020547945,6475171,Nonprofit
Institute for Systems Biology,2004,24,20,162,0.313253012,3603910,Nonprofit
Institute for Systems Biology,2011,8,26,31,0.107913669,6435437,Nonprofit
Institute for Systems Biology,2012,9,35,36,0.101449275,10325939,Nonprofit
Institute for Systems Biology,2007,17,19,90,0.150326797,8684173,Nonprofit
Institute for Systems Biology,2003,31,11,590,2.634146341,12882260,Nonprofit
Institute for Systems Biology,2006,14,18,78,0.13986014,9632438,Nonprofit
Institute for Systems Biology,2002,14,9,215,3.444444444,3801363,Nonprofit
Institute for Systems Biology,2001,8,3,165,10.14285714,4048823,Nonprofit
Institute for Systems Biology,2010,9,24,71,0.294964029,9306226,Nonprofit
"Integrated Laboratory Systems, Inc.",2015,1,4,3,1,8540116,Facility
Integris Health,2012,1,8,1,0.033333333,225615,Healthcare
International AIDS Vaccine Initiative,2010,1,2,2,0.142857143,1941240,Nonprofit
International AIDS Vaccine Initiative,2012,1,3,11,0.384615385,2938469,Nonprofit
International AIDS Vaccine Initiative,2013,5,2,29,0.933333333,2760465,Nonprofit
International AIDS Vaccine Initiative,2014,2,2,9,0.3,1487455,Nonprofit
International AIDS Vaccine Initiative,2009,1,2,28,0.454545455,354595,Nonprofit
Iowa State University,2008,96,422,428,0.073258197,18097747,Education
Iowa State University,2012,71,511,189,0.046728972,12970086,Education
Iowa State University,2002,112,327,799,0.098892405,14727824,Education
Iowa State University,2000,92,266,688,0.101019462,10001706,Education
Iowa State University,2010,82,471,972,0.164171898,17347027,Education
Iowa State University,2009,89,459,915,0.109994977,16751056,Education
Iowa State University,2013,38,515,136,0.054065744,10760677,Education
Iowa State University,2014,47,500,95,0.033664221,8160977,Education
Iowa State University,2003,111,311,716,0.087621697,19766806,Education
Iowa State University,2007,101,411,402,0.072502685,17357079,Education
Iowa State University,2011,87,534,628,0.125526932,16351655,Education
Iowa State University,2001,93,242,398,0.068067227,9958965,Education
Iowa State University,2004,110,369,509,0.061538462,21016006,Education
Iowa State University,2015,34,506,68,0.024989229,9665439,Education
Iowa State University,2006,104,385,562,0.08393153,17382297,Education
Iowa State University,2005,96,374,442,0.069047619,20830483,Education
Ithaca College,2005,0,6,0,0.051282051,398970,Education
Ithaca College,2013,1,8,1,0.023809524,111483,Education
Ithaca College,2007,1,8,10,0.073170732,208077,Education
Jackson Laboratory,2002,18,47,124,0.075539568,53062380,Nonprofit
Jackson Laboratory,2007,22,43,375,0.215231788,50013392,Nonprofit
Jackson Laboratory,2001,20,54,154,0.051724138,49631054,Nonprofit
Jackson Laboratory,2003,21,55,162,0.063432836,53628599,Nonprofit
Jackson Laboratory,2014,8,43,15,0.063926941,51708308,Nonprofit
Jackson Laboratory,2009,12,41,54,0.037037037,45380612,Nonprofit
Jackson Laboratory,2012,11,64,70,0.138095238,53262122,Nonprofit
Jackson Laboratory,2013,7,32,24,0.051502146,50850165,Nonprofit
Jackson Laboratory,2015,5,47,33,0.123287671,59533239,Nonprofit
Jackson Laboratory,2000,16,52,116,0.068592058,38163378,Nonprofit
Jackson Laboratory,2010,13,39,78,0.070247934,46145123,Nonprofit
Jackson Laboratory,2004,24,50,116,0.143356643,55468518,Nonprofit
Jackson Laboratory,2005,25,56,145,0.068965517,50042917,Nonprofit
Jackson Laboratory,2008,13,36,55,0.054794521,45609384,Nonprofit
Jackson Laboratory,2006,14,56,626,0.181818182,50710040,Nonprofit
Jackson Laboratory,2011,11,42,22,0.040178571,49827153,Nonprofit
Jackson State University,2009,9,57,23,0.062801932,3037662,Education
Jackson State University,2012,3,45,9,0.022727273,4192666,Education
Jackson State University,2010,8,54,15,0.044843049,2556387,Education
Jackson State University,2002,2,14,6,0.047619048,3922048,Education
Jackson State University,2001,2,18,2,0.041666667,3395591,Education
Jackson State University,2008,3,61,3,0.052023121,2819898,Education
Jackson State University,2014,2,56,2,0.025423729,3287049,Education
Jackson State University,2004,3,27,4,0.014492754,7099482,Education
Jackson State University,2003,4,22,8,0.098039216,7579819,Education
Jackson State University,2006,4,43,6,0.008130081,8646375,Education
Jackson State University,2007,9,36,16,0.051948052,3156539,Education
Jackson State University,2015,3,51,3,0.012820513,5793267,Education
Jackson State University,2011,4,66,5,0.021008403,3124484,Education
Jackson State University,2013,4,50,7,0.024193548,6657384,Education
James Madison University,2008,3,25,5,0.023529412,194019,Education
James Madison University,2002,1,9,24,0.06,205579,Education
James Madison University,2009,4,23,18,0.034482759,6432,Education
James Madison University,2006,1,16,1,0.014925373,373570,Education
James Madison University,2010,0,26,0,0.010869565,173022,Education
James Madison University,2011,1,32,11,0.03960396,243200,Education
James Madison University,2014,2,24,8,0.043103448,365517,Education
Johns Hopkins University,2007,693,2691,3982,0.087597711,581979420,Education
Johns Hopkins University,2000,614,1930,5587,0.102410996,416601916,Education
Johns Hopkins University,2015,252,4340,718,0.035939946,584714172,Education
Johns Hopkins University,2012,507,3623,3193,0.104629128,645692898,Education
Johns Hopkins University,2008,667,2920,3364,0.079765938,581949460,Education
Johns Hopkins University,2013,439,3805,1519,0.056762576,574844637,Education
Johns Hopkins University,2006,713,2598,4484,0.088744773,598052267,Education
Johns Hopkins University,2002,652,1977,5874,0.097125257,477236385,Education
Johns Hopkins University,2009,634,2816,2981,0.079309078,603366684,Education
Johns Hopkins University,2004,744,2243,5195,0.110253998,599151309,Education
Johns Hopkins University,2003,676,2132,5916,0.099149862,555875515,Education
Johns Hopkins University,2005,728,2495,5028,0.10290404,607222589,Education
Johns Hopkins University,2010,592,3011,2574,0.075380509,610467293,Education
Johns Hopkins University,2001,605,1988,5542,0.096451613,437143975,Education
Johns Hopkins University,2011,599,3352,2892,0.088299598,625134944,Education
Johns Hopkins University,2014,337,3956,1042,0.04463736,593400359,Education
Judge Baker Children's Center,2014,0,4,0,0.058823529,1338813,Education
Kaiser Permanente,2009,8,276,16,0.006554307,31382406,Nonprofit
Kaiser Permanente,2012,5,359,7,0.006756757,40975396,Nonprofit
Kaiser Permanente,2000,10,171,89,0.014204545,17053536,Nonprofit
Kaiser Permanente,2001,10,159,89,0.008333333,12931506,Nonprofit
Kaiser Permanente,2006,20,240,154,0.030821918,30829444,Nonprofit
Kaiser Permanente,2014,4,319,9,0.007446016,48013626,Nonprofit
Kaiser Permanente,2013,9,335,13,0.007103394,36647504,Nonprofit
Kaiser Permanente,2004,19,219,99,0.025104603,24825297,Nonprofit
Kaiser Permanente,2007,10,242,72,0.012409514,29515608,Nonprofit
Kaiser Permanente,2011,4,320,6,0.002714932,38283233,Nonprofit
Kaiser Permanente,2003,12,184,75,0.011661808,22250119,Nonprofit
Kaiser Permanente,2015,5,311,13,0.004929577,48084944,Nonprofit
Kaiser Permanente,2005,21,247,95,0.023255814,27559116,Nonprofit
Kaiser Permanente,2010,11,266,16,0.009199632,34231939,Nonprofit
Kaiser Permanente,2002,12,158,97,0.014224751,13995676,Nonprofit
Kaiser Permanente,2008,9,274,25,0.008806262,31875898,Nonprofit
Kansas State University,2005,45,200,205,0.056910569,7741783,Education
Kansas State University,2015,18,330,42,0.023089172,7769515,Education
Kansas State University,2001,35,198,106,0.034391534,6359460,Education
Kansas State University,2008,48,248,204,0.066933067,7499359,Education
Kansas State University,2011,28,256,81,0.033562823,9221420,Education
Kansas State University,2006,42,215,249,0.067201605,7754136,Education
Kansas State University,2004,39,219,149,0.056663169,8163935,Education
Kansas State University,2007,36,203,146,0.029732408,8106845,Education
Kansas State University,2010,43,280,134,0.0456621,9872422,Education
Kansas State University,2002,38,206,185,0.029739777,8132204,Education
Kansas State University,2012,46,307,145,0.062137531,6156883,Education
Kansas State University,2009,38,263,104,0.049085659,8769698,Education
Kansas State University,2000,41,187,170,0.047419805,5628509,Education
Kansas State University,2014,20,276,43,0.017147311,7212945,Education
Kansas State University,2013,32,284,78,0.031595577,6401404,Education
Kansas State University,2003,37,209,232,0.063973064,7876331,Education
Kessler Institute for Rehabilitation,2011,1,2,1,0.142857143,870012,Healthcare
Kessler Institute for Rehabilitation,2013,1,4,2,0.2,749514,Healthcare
Kessler Institute for Rehabilitation,2002,1,7,1,0.032258065,248625,Healthcare
La Jolla Bioengineering Institute,2007,4,10,6,0.038461538,3684644,Nonprofit
La Jolla Bioengineering Institute,2006,4,9,10,0.166666667,3421275,Nonprofit
La Jolla Bioengineering Institute,2009,3,6,4,0.02173913,2595379,Nonprofit
La Jolla Bioengineering Institute,2012,3,5,3,0.071428571,2721646,Nonprofit
La Jolla Bioengineering Institute,2005,3,7,15,1,3732033,Nonprofit
La Jolla Bioengineering Institute,2013,2,9,3,0.103448276,1714550,Nonprofit
La Jolla Bioengineering Institute,2008,4,4,12,0.076923077,3331340,Nonprofit
La Jolla Institute For Allergy & Immunology,2009,26,38,168,0.168674699,15547524,Nonprofit
La Jolla Institute For Allergy & Immunology,2015,13,60,27,0.134275618,31132844,Nonprofit
La Jolla Institute For Allergy & Immunology,2011,30,43,135,0.246031746,20699505,Nonprofit
La Jolla Institute For Allergy & Immunology,2007,25,31,174,0.154471545,13318613,Nonprofit
La Jolla Institute For Allergy & Immunology,2001,30,21,146,0.098360656,10140738,Nonprofit
La Jolla Institute For Allergy & Immunology,2004,29,28,159,0.186363636,25786291,Nonprofit
La Jolla Institute For Allergy & Immunology,2005,39,31,305,0.380090498,18764789,Nonprofit
La Jolla Institute For Allergy & Immunology,2000,36,23,304,0.25974026,7367677,Nonprofit
La Jolla Institute For Allergy & Immunology,2002,23,25,200,0.14354067,10682500,Nonprofit
La Jolla Institute For Allergy & Immunology,2010,29,37,174,0.25,19090910,Nonprofit
La Jolla Institute For Allergy & Immunology,2014,13,49,39,0.087412587,30602297,Nonprofit
La Jolla Institute For Allergy & Immunology,2013,21,46,93,0.210714286,26164807,Nonprofit
La Jolla Institute For Allergy & Immunology,2012,17,55,96,0.198529412,30795750,Nonprofit
La Jolla Institute For Allergy & Immunology,2006,31,24,141,0.15,21951004,Nonprofit
La Jolla Institute For Allergy & Immunology,2008,32,31,249,0.254098361,16461334,Nonprofit
La Jolla Institute For Allergy & Immunology,2003,24,33,235,0.240566038,10691390,Nonprofit
Lafayette College,2009,2,24,3,0.014925373,238500,Education
Lafayette College,2014,1,12,1,0.012195122,268220,Education
Lafayette College,2005,3,17,6,0.025974026,192750,Education
Laureate Institute for Brain Research,2012,2,3,4,0.285714286,1068642,Facility
Lawrence University,2011,1,5,2,0.125,289390,Education
Legacy Health,2010,3,19,25,0.169491525,4060309,Nonprofit
Legacy Health,2006,1,9,83,1.275,7829995,Nonprofit
Legacy Health,2005,2,8,14,0.023809524,5640348,Nonprofit
Legacy Health,2012,2,20,7,0.043956044,3345020,Nonprofit
Legacy Health,2000,2,6,184,2.75,3655873,Nonprofit
Legacy Health,2003,2,8,4,0.027777778,4817661,Nonprofit
Legacy Health,2004,2,11,7,0.027027027,5298968,Nonprofit
Legacy Health,2014,1,22,9,0.052631579,3167329,Nonprofit
Legacy Health,2008,2,17,4,0.075,5350097,Nonprofit
Legacy Health,2002,1,6,37,0.064516129,4868699,Nonprofit
Legacy Health,2007,1,6,1,0.023255814,6410300,Nonprofit
Lehigh University,2014,4,81,11,0.029761905,2960246,Education
Lehigh University,2015,7,81,12,0.03313253,4188602,Education
Lehigh University,2012,5,74,10,0.014164306,2194157,Education
Lehigh University,2009,17,80,30,0.066390041,2052275,Education
Lehigh University,2010,8,81,15,0.021352313,1627783,Education
Lehigh University,2004,8,37,21,0.095652174,2715136,Education
Lehigh University,2013,7,71,14,0.033707865,2992402,Education
Lehigh University,2008,12,64,17,0.038095238,2447507,Education
Lehigh University,2011,16,73,28,0.047021944,1988625,Education
Lehigh University,2007,5,50,37,0.046875,2039028,Education
Lehigh University,2001,6,22,29,0.117647059,1854670,Education
Lehigh University,2002,8,21,39,0.091954023,2604310,Education
Lehigh University,2003,3,34,15,0.030612245,3140778,Education
Lehigh University,2005,8,50,46,0.258992806,2670079,Education
Lehigh University,2006,11,41,31,0.023668639,2863530,Education
Lehigh University,2000,2,19,8,0.037974684,1449905,Education
Lifespan,2008,17,181,67,0.022432113,28130907,Healthcare
Lifespan,2009,20,183,76,0.03185438,33736079,Healthcare
Lifespan,2004,24,143,72,0.032258065,27063956,Healthcare
Lifespan,2007,19,197,55,0.014833127,33083136,Healthcare
Lifespan,2006,30,185,185,0.050847458,26651801,Healthcare
Lifespan,2005,35,204,164,0.058906031,26995068,Healthcare
Loma Linda University,2014,14,197,20,0.017064846,10877680,Education
Loma Linda University,2004,24,154,159,0.073684211,13173441,Education
Loma Linda University,2013,12,189,31,0.022909507,10265250,Education
Loma Linda University,2008,9,155,36,0.022058824,9224220,Education
Loma Linda University,2011,14,234,31,0.023160763,11365007,Education
Loma Linda University,2015,6,218,6,0.006593407,9956392,Education
Loma Linda University,2001,27,121,116,0.076512456,9444522,Education
Loma Linda University,2012,15,209,61,0.039506173,11692500,Education
Loma Linda University,2010,17,176,46,0.015320334,8940443,Education
Loma Linda University,2002,18,153,164,0.056239016,13418505,Education
Loma Linda University,2005,17,129,104,0.034532374,14770508,Education
Loma Linda University,2009,17,180,43,0.031578947,10508844,Education
Loma Linda University,2000,24,124,137,0.057971014,5200257,Education
