Term,Log Likelihood,% Frequency in Patent-Cited Corpus,% Frequency in Non-Patent-Cited Corpus,Corpus,Rank,Year,Term Type
D000911,7985.349798333937,0.0036312947558588345,0.0011535557301804902,Patent-Cited,22,1990-1995,MESH
D014158,7676.693874533055,0.002826129621522064,0.0007598650478778307,Patent-Cited,23,1990-1995,MESH
D005822,6952.725005435419,0.0012775286798143424,0.00014576362486394553,Patent-Cited,24,1990-1995,MESH
D007700,6664.304248558101,0.005238941140751252,0.002302179819073773,Patent-Cited,25,1990-1995,MESH
D011401,6587.748336589252,0.0019162930197215136,0.0004111755923209413,Patent-Cited,26,1990-1995,MESH
D001665,6531.90944845205,0.002681870868286726,0.0007887823990619121,Patent-Cited,27,1990-1995,MESH
D009838,6182.323434563368,0.0016026141028028134,0.0003019509460849437,Patent-Cited,28,1990-1995,MESH
D002478,5826.07640571123,0.0050443595666198665,0.002319160356687681,Patent-Cited,29,1990-1995,MESH
D005798,5631.200472360172,0.0015553106511605281,0.0003153448354899737,Patent-Cited,30,1990-1995,MESH
D006801,32611.964991263536,0.04117480302809188,0.06821177229850015,Non-Patent-Cited,1,1990-1995,MESH
D005260,26222.69046524127,0.016508233652212274,0.03287762726184404,Non-Patent-Cited,2,1990-1995,MESH
D000328,23833.353555680806,0.00874744821362373,0.02087036967919337,Non-Patent-Cited,3,1990-1995,MESH
D008297,23008.5214969831,0.0183322681669577,0.03410762343197624,Non-Patent-Cited,4,1990-1995,MESH
D014481,17007.83980693449,0.000444182765775785,0.004619939141304861,Non-Patent-Cited,5,1990-1995,MESH
D008875,16659.22116283378,0.007418590256495418,0.01652189497419799,Non-Patent-Cited,6,1990-1995,MESH
D002648,14349.153184947048,0.0017264082422070919,0.006772152232144908,Non-Patent-Cited,7,1990-1995,MESH
D000293,13861.34294335115,0.0024785666718666914,0.007984215161232726,Non-Patent-Cited,8,1990-1995,MESH
D000368,12325.085183182644,0.005072540346321653,0.011611997741756622,Non-Patent-Cited,9,1990-1995,MESH
D002675,7996.110909473483,0.0010816051637923948,0.00399311632542511,Non-Patent-Cited,10,1990-1995,MESH
D007223,6513.904475289022,0.0009098366018005505,0.003304816117590055,Non-Patent-Cited,11,1990-1995,MESH
D003937,6085.250403568691,0.00019860739980307002,0.0017554401327328835,Non-Patent-Cited,12,1990-1995,MESH
D007231,6005.022989402602,0.0006937839574201838,0.002780549023932919,Non-Patent-Cited,13,1990-1995,MESH
D012307,5471.939350680738,0.0009111785436911118,0.0030358175019241807,Non-Patent-Cited,14,1990-1995,MESH
D011247,4771.111044864378,0.0013030255757350067,0.0034868945555688933,Non-Patent-Cited,15,1990-1995,MESH
D012189,4408.871101256647,0.00047974422587565904,0.001985602073261997,Non-Patent-Cited,16,1990-1995,MESH
D014057,4297.600073486057,0.00027811745681882613,0.0015561569916270818,Non-Patent-Cited,17,1990-1995,MESH
D005500,4262.46939654072,0.000987669231453105,0.002831714802287699,Non-Patent-Cited,18,1990-1995,MESH
D006113,4081.0380786693872,5.468413204037232e-05,0.0009599888096575883,Non-Patent-Cited,19,1990-1995,MESH
D049673,3461.020333550925,9.527787422985117e-05,0.0009530396787528865,Non-Patent-Cited,20,1990-1995,MESH
D011183,3426.7812362379964,0.0004468666495569076,0.0016809611410203947,Non-Patent-Cited,21,1990-1995,MESH
D000367,3412.8047506785774,0.0005045701508510428,0.0017813872908689877,Non-Patent-Cited,22,1990-1995,MESH
D011859,3332.689546468361,0.00031434988786398075,0.0014078715047412687,Non-Patent-Cited,23,1990-1995,MESH
D011795,3230.461819179711,0.00013788452925517192,0.001010762298364522,Non-Patent-Cited,24,1990-1995,MESH
D000369,2610.8429863375577,0.001590872111260402,0.003199962698858628,Non-Patent-Cited,25,1990-1995,MESH
D011379,2603.081396121271,0.0005924673446828069,0.0017118399404437066,Non-Patent-Cited,26,1990-1995,MESH
D015994,2532.74721690445,0.00034487906587425,0.0012689449280254975,Non-Patent-Cited,27,1990-1995,MESH
D003906,2396.0239417335165,2.012912835841926e-05,0.0005240429281440811,Non-Patent-Cited,28,1990-1995,MESH
D012106,2263.7990711745188,6.810355094598516e-05,0.0006383673398020776,Non-Patent-Cited,29,1990-1995,MESH
D003131,2183.7984467220717,0.0004039245090589465,0.0012808257002174068,Non-Patent-Cited,30,1990-1995,MESH
D008969,52325.34318984221,0.01424711019450337,0.003917438332599493,Patent-Cited,1,1995-2000,MESH
D000595,42469.774548001624,0.009901603316974261,0.0023619027604784033,Patent-Cited,2,1995-2000,MESH
D051379,30380.8682587645,0.011644696877241146,0.004127296765072565,Patent-Cited,3,1995-2000,MESH
D001483,28126.658423160872,0.008724380958388355,0.0026651826700635054,Patent-Cited,4,1995-2000,MESH
D003001,19112.99095084018,0.004201068024757551,0.0009441687226836863,Patent-Cited,5,1995-2000,MESH
D000818,17602.964608891853,0.03381103284292686,0.022408821318120716,Patent-Cited,6,1995-2000,MESH
D011994,15064.298635826955,0.004254546967081197,0.0012063703736218147,Patent-Cited,7,1995-2000,MESH
D017386,15051.428923340543,0.00330929523438632,0.0007439729066062968,Patent-Cited,8,1995-2000,MESH
D002460,14842.726746924505,0.004176156893504228,0.0011804415436957108,Patent-Cited,9,1995-2000,MESH
D014407,14810.224916579224,0.004425725291014578,0.0013134360477548839,Patent-Cited,10,1995-2000,MESH
D011993,11672.01018390426,0.002292509702771352,0.0004552597554066466,Patent-Cited,11,1995-2000,MESH
D014162,11153.40257131322,0.002551905427289893,0.0005974798731099388,Patent-Cited,12,1995-2000,MESH
D018076,10390.607896618749,0.0024161511890837136,0.000574852841751204,Patent-Cited,13,1995-2000,MESH
D001665,9905.93701719095,0.0030999503148629866,0.0009533943363278057,Patent-Cited,14,1995-2000,MESH
D005822,9684.124694080132,0.0014286190960047574,0.00019160142862997308,Patent-Cited,15,1995-2000,MESH
D013329,9373.841575598144,0.002024657906175995,0.00044676247968179983,Patent-Cited,16,1995-2000,MESH
D012333,8784.923724088403,0.004454293102084902,0.001857844364480494,Patent-Cited,17,1995-2000,MESH
D017931,8085.205581287293,0.0024995691974090597,0.0007616472401139781,Patent-Cited,18,1995-2000,MESH
D004268,8021.930992983336,0.00266274853424275,0.0008554571641162862,Patent-Cited,19,1995-2000,MESH
D015870,7805.212318593396,0.002564703806649398,0.000817923483343106,Patent-Cited,20,1995-2000,MESH
D015398,7683.803516065125,0.002659091854425748,0.0008799778740651297,Patent-Cited,21,1995-2000,MESH
D004926,7266.174642851382,0.002532936400739198,0.0008424927491532344,Patent-Cited,22,1995-2000,MESH
D011485,7169.460203502618,0.0020950489926532733,0.0006107841791019846,Patent-Cited,23,1995-2000,MESH
D002478,6996.1545532294385,0.004449950794802212,0.002071441598272499,Patent-Cited,24,1995-2000,MESH
D008958,6420.54594822011,0.0018857040731299396,0.0005519830310860451,Patent-Cited,25,1995-2000,MESH
D014157,6309.886314475654,0.002238345132982018,0.00075353841127941,Patent-Cited,26,1995-2000,MESH
D011506,6074.644672390345,0.002182352223284183,0.0007410595549292065,Patent-Cited,27,1995-2000,MESH
D000911,6064.985982705855,0.0021508133598625453,0.0007239193358956585,Patent-Cited,28,1995-2000,MESH
D016415,5949.990530977458,0.0015362626081177379,0.0004032564279705845,Patent-Cited,29,1995-2000,MESH
D011487,5638.07976370593,0.0019668366565696593,0.0006545330101196241,Patent-Cited,30,1995-2000,MESH
D006801,35330.93156365052,0.04256306744243129,0.06605359712502687,Non-Patent-Cited,1,1995-2000,MESH
D005260,32206.85378649985,0.016881062375187234,0.03200350806386611,Non-Patent-Cited,2,1995-2000,MESH
D000328,29143.62081322183,0.009042969187444606,0.020198461400712294,Non-Patent-Cited,3,1995-2000,MESH
D008297,27831.102102729637,0.018080681897652273,0.03233946606809591,Non-Patent-Cited,4,1995-2000,MESH
D014481,22785.803873294375,0.0005400459004734029,0.004640677886437163,Non-Patent-Cited,5,1995-2000,MESH
D008875,20096.600591262148,0.007944365444924231,0.01638444705264951,Non-Patent-Cited,6,1995-2000,MESH
D002648,17918.24187183215,0.0017730326262685823,0.00640432388002507,Non-Patent-Cited,7,1995-2000,MESH
D000293,17816.487921007563,0.002481514340812615,0.007616229621833357,Non-Patent-Cited,8,1995-2000,MESH
D000368,15620.086157112335,0.005610718094211613,0.011932263019720089,Non-Patent-Cited,9,1995-2000,MESH
D002675,10037.997558547728,0.0010860339056494332,0.003753319521456738,Non-Patent-Cited,10,1995-2000,MESH
D012189,8976.54142726762,0.0006961404201616527,0.0028537250794325336,Non-Patent-Cited,11,1995-2000,MESH
D003937,8932.141750087125,0.00033207223588144495,0.0021033913549979226,Non-Patent-Cited,12,1995-2000,MESH
D007223,8072.768522697694,0.0008732608487976608,0.003018232337465567,Non-Patent-Cited,13,1995-2000,MESH
D012307,7782.186776562594,0.0011132304617883816,0.0033759433675509725,Non-Patent-Cited,14,1995-2000,MESH
D007231,7016.491998624046,0.0006534029748004481,0.0024337168793186798,Non-Patent-Cited,15,1995-2000,MESH
D011795,6825.928860108212,0.0002020315598893306,0.0014881885925190179,Non-Patent-Cited,16,1995-2000,MESH
D005500,6736.087260107623,0.0010999749974517513,0.0031475851519283766,Non-Patent-Cited,17,1995-2000,MESH
D011247,6369.8290655258825,0.0012016764048621044,0.0032366851573860556,Non-Patent-Cited,18,1995-2000,MESH
D006113,6345.955904620676,8.181821090540764e-05,0.0011084332014102954,Non-Patent-Cited,19,1995-2000,MESH
D049673,5559.973954725152,0.0001110716494414193,0.0010794453522232467,Non-Patent-Cited,20,1995-2000,MESH
D014057,5541.018162371039,0.0003802947009681517,0.001666582826879515,Non-Patent-Cited,21,1995-2000,MESH
D011183,4774.417824866645,0.0003768665636397128,0.0015303350801142577,Non-Patent-Cited,22,1995-2000,MESH
D016896,3888.0880165766403,0.0014414174753642625,0.0030342072158282786,Non-Patent-Cited,23,1995-2000,MESH
D008329,3708.8178826843596,1.736922913075693e-05,0.0005490696794089548,Non-Patent-Cited,24,1995-2000,MESH
D015994,3619.4831482424097,0.0003857797206936539,0.0013430551231386353,Non-Patent-Cited,25,1995-2000,MESH
D000369,3616.089028524788,0.0018605643993880546,0.0035458888820479074,Non-Patent-Cited,26,1995-2000,MESH
D011859,3523.6047003449776,0.0002822499733748001,0.0011371782712909198,Non-Patent-Cited,27,1995-2000,MESH
D000367,3497.852135104138,0.0004705689839503752,0.0014672124604439675,Non-Patent-Cited,28,1995-2000,MESH
D015995,3365.3660050753683,0.00030053337245980737,0.001143733312564373,Non-Patent-Cited,29,1995-2000,MESH
D001291,3191.9032219430414,1.5997974199381382e-05,0.0004764301109268362,Non-Patent-Cited,30,1995-2000,MESH
D051379,36635.862470889115,0.011360013106960495,0.004122794116043215,Patent-Cited,1,2000-2005,MESH
D008969,23675.84991023763,0.007524143889850686,0.0027727696083853894,Patent-Cited,2,2000-2005,MESH
D000595,21546.084288530918,0.0058246880476313725,0.0019302312320107092,Patent-Cited,3,2000-2005,MESH
D000818,20086.27739484416,0.030588439674967154,0.020356312988809366,Patent-Cited,4,2000-2005,MESH
D002460,15083.619456791013,0.0038076214574219755,0.0012011556770672824,Patent-Cited,5,2000-2005,MESH
D014407,14813.708398137136,0.003426806347130363,0.001011038261548591,Patent-Cited,6,2000-2005,MESH
D015398,11787.2764245082,0.0036049437816617663,0.00129697391967658,Patent-Cited,7,2000-2005,MESH
D013329,10638.791338788711,0.00188553795916292,0.00043819318266447005,Patent-Cited,8,2000-2005,MESH
D014162,10519.97745494288,0.0025301165255396823,0.0007695451297690609,Patent-Cited,9,2000-2005,MESH
D002478,10264.27848349583,0.004288009920613203,0.0018406061197164029,Patent-Cited,10,2000-2005,MESH
D001483,9228.784841610635,0.003967750945152384,0.0017277275558620355,Patent-Cited,11,2000-2005,MESH
D005822,9139.543855682801,0.001452641041946864,0.0003005810480552636,Patent-Cited,12,2000-2005,MESH
D011485,8905.354646159169,0.0026805358458773985,0.000954637930126533,Patent-Cited,13,2000-2005,MESH
D002455,8627.003831041897,0.0028546126649536753,0.0010780720808699735,Patent-Cited,14,2000-2005,MESH
D011994,8549.527064649643,0.0027349127832764788,0.0010119341231664828,Patent-Cited,15,2000-2005,MESH
D011993,8311.653951022277,0.0017900252217184314,0.0004980601090427181,Patent-Cited,16,2000-2005,MESH
D008810,7814.847539940434,0.002160777067621253,0.0007273227822127688,Patent-Cited,17,2000-2005,MESH
D012333,7285.813009256595,0.003866059010276182,0.0018544335490360373,Patent-Cited,18,2000-2005,MESH
D003001,7009.053030952731,0.0020274829515942857,0.0007035629740860731,Patent-Cited,19,2000-2005,MESH
D001665,6934.090835821475,0.002391172857575149,0.0009252692492617322,Patent-Cited,20,2000-2005,MESH
D008958,6843.27592400373,0.0024402533400327605,0.0009625448826670564,Patent-Cited,21,2000-2005,MESH
D017386,6717.462158593684,0.0019298516321732096,0.0006666378952268805,Patent-Cited,22,2000-2005,MESH
D017209,6633.174093545202,0.0027795795532828665,0.0011949625467522914,Patent-Cited,23,2000-2005,MESH
D010455,6627.429212677287,0.0015146095647620497,0.0004425556392385519,Patent-Cited,24,2000-2005,MESH
D017434,6611.654795898981,0.002004002001353774,0.000716884046839073,Patent-Cited,25,2000-2005,MESH
D008024,6295.948492197382,0.0013791968667584953,0.00038927134822655236,Patent-Cited,26,2000-2005,MESH
D004268,6271.307191267284,0.002508930705773807,0.0010533385101151346,Patent-Cited,27,2000-2005,MESH
D008807,6023.425380630335,0.0015622776592352696,0.0005026952191526801,Patent-Cited,28,2000-2005,MESH
D014157,5901.214327464122,0.002384817111645386,0.0010064810524488806,Patent-Cited,29,2000-2005,MESH
D002454,5881.413774219658,0.0018421070286428751,0.0006727531245316202,Patent-Cited,30,2000-2005,MESH
D005260,38655.38927945914,0.01626700206173336,0.030556009112548577,Non-Patent-Cited,1,2000-2005,MESH
D006801,36119.40459610295,0.04273409359824553,0.06340285323356187,Non-Patent-Cited,2,2000-2005,MESH
D000328,33842.78854466736,0.008457026153541405,0.018657642509771123,Non-Patent-Cited,3,2000-2005,MESH
D008297,32740.197774722546,0.01689657400577596,0.030048756684296185,Non-Patent-Cited,4,2000-2005,MESH
D014481,25416.376824633015,0.000622156907124544,0.004390072482215978,Non-Patent-Cited,5,2000-2005,MESH
D008875,22111.878693834893,0.008040371698145853,0.015749831500114827,Non-Patent-Cited,6,2000-2005,MESH
D000293,21287.574593133682,0.002337678662666313,0.007125488556185792,Non-Patent-Cited,7,2000-2005,MESH
D002648,20415.53150380454,0.0017186996285066503,0.0059332914952974275,Non-Patent-Cited,8,2000-2005,MESH
D000368,17072.64038238807,0.005844991124907003,0.011657262976049179,Non-Patent-Cited,9,2000-2005,MESH
D011795,11682.48871369379,0.00027965282090955667,0.0020030686765958256,Non-Patent-Cited,10,2000-2005,MESH
D003937,11211.843374864226,0.00036457264847110767,0.0021397849495871403,Non-Patent-Cited,11,2000-2005,MESH
D012189,10838.90109299123,0.0007836987828393448,0.0029187950521017535,Non-Patent-Cited,12,2000-2005,MESH
D002675,10152.604967140393,0.0010404002990025362,0.003272465638643388,Non-Patent-Cited,13,2000-2005,MESH
D012307,10055.43891454361,0.0013590703379809136,0.0037850153355928782,Non-Patent-Cited,14,2000-2005,MESH
D007223,7834.73601898267,0.0008354274927676908,0.0025805099150847826,Non-Patent-Cited,15,2000-2005,MESH
D006113,7815.188055472645,0.00011193174776304225,0.0011528181002062507,Non-Patent-Cited,16,2000-2005,MESH
D007231,7154.724601430326,0.0006150949672025855,0.002101886108099804,Non-Patent-Cited,17,2000-2005,MESH
D005500,7152.54809172175,0.0009734884182419795,0.0027032429567359602,Non-Patent-Cited,18,2000-2005,MESH
D011247,6990.869245373044,0.0010098574088400658,0.002735766628515945,Non-Patent-Cited,19,2000-2005,MESH
D049673,5898.886213272905,0.00013505960100745635,0.0009968992281879508,Non-Patent-Cited,20,2000-2005,MESH
D014057,5796.069455030759,0.0004427836331067981,0.001603825999057086,Non-Patent-Cited,21,2000-2005,MESH
D016896,5766.66087599266,0.002286656146730163,0.004367948595304563,Non-Patent-Cited,22,2000-2005,MESH
D001291,5551.552761297672,2.1185819765875507e-05,0.0006411253143695269,Non-Patent-Cited,23,2000-2005,MESH
D011183,5101.364844070806,0.00032961604585741305,0.0013012974257455361,Non-Patent-Cited,24,2000-2005,MESH
D015995,4590.4310433208375,0.0003663381334515973,0.0012983371873559804,Non-Patent-Cited,25,2000-2005,MESH
D001294,4416.065739969386,2.3657498738560983e-05,0.000534089326284019,Non-Patent-Cited,26,2000-2005,MESH
D000369,4287.177237200367,0.0019872298940391223,0.0036353285443946953,Non-Patent-Cited,27,2000-2005,MESH
D000367,4233.146699465855,0.0005126968383341872,0.0014964784069305724,Non-Patent-Cited,28,2000-2005,MESH
D012959,4220.942895233149,3.44269571195477e-05,0.0005485789141907908,Non-Patent-Cited,29,2000-2005,MESH
D003430,4083.1028892418285,0.00021803739509046875,0.0009542484250752757,Non-Patent-Cited,30,2000-2005,MESH
D051379,44322.24980560168,0.012574815263277202,0.004491059647397899,Patent-Cited,1,2005-2010,MESH
D000818,26351.78635676633,0.030359151803466964,0.01916137041799578,Patent-Cited,2,2005-2010,MESH
D045744,21010.970054148722,0.004352012142119132,0.0012399786941859564,Patent-Cited,3,2005-2010,MESH
D002460,14659.877761924366,0.0037954633124482997,0.0012765245502939391,Patent-Cited,4,2005-2010,MESH
D015398,12955.294622957437,0.004206086685677268,0.0016293810920261862,Patent-Cited,5,2005-2010,MESH
D013329,12077.57602758534,0.0018224039896335116,0.00038586183049971927,Patent-Cited,6,2005-2010,MESH
D002478,11799.095716039072,0.004322932159202746,0.0017895767617803076,Patent-Cited,7,2005-2010,MESH
D008969,11110.172907291391,0.005121055063823555,0.0023701397912001417,Patent-Cited,8,2005-2010,MESH
D000595,9886.529601484432,0.003660574235065064,0.0015237641679702756,Patent-Cited,9,2005-2010,MESH
D049109,9873.34174425748,0.0028789183087222082,0.0010459976106571317,Patent-Cited,10,2005-2010,MESH
D015394,9767.50438732785,0.002804466545231461,0.001009181711277415,Patent-Cited,11,2005-2010,MESH
D008810,9301.53629069404,0.002654862295770054,0.0009517825136299841,Patent-Cited,12,2005-2010,MESH
D002454,8789.832906967664,0.0022727933635975374,0.0007637423820793044,Patent-Cited,13,2005-2010,MESH
D010455,7058.14056219218,0.0015196918783111327,0.00044662156663983837,Patent-Cited,14,2005-2010,MESH
D005822,7053.052111485208,0.0011318419856793348,0.00025564096390805663,Patent-Cited,15,2005-2010,MESH
D016503,6826.682131508877,0.001007814106734749,0.00020835338654666023,Patent-Cited,16,2005-2010,MESH
D011485,6480.543597917778,0.002399974493701731,0.0009991301006073213,Patent-Cited,17,2005-2010,MESH
D034741,6447.371058349005,0.0011660022065750892,0.00029554735850872743,Patent-Cited,18,2005-2010,MESH
D017209,6438.089930790011,0.0027361461034399515,0.001219815463229828,Patent-Cited,19,2005-2010,MESH
D020869,6346.28073083737,0.0018190755578539252,0.0006538947800995632,Patent-Cited,20,2005-2010,MESH
D008807,6268.352441437997,0.0015286260899300224,0.000493159023801974,Patent-Cited,21,2005-2010,MESH
D015195,6185.114134180216,0.0010107921772743787,0.00023253726177082615,Patent-Cited,22,2005-2010,MESH
D008822,6144.148020897532,0.0014021456823057412,0.0004309290520713039,Patent-Cited,23,2005-2010,MESH
D020411,6048.095550780681,0.0015438668038681282,0.0005142524038051858,Patent-Cited,24,2005-2010,MESH
D008958,5973.849691885964,0.0027534889848177964,0.0012743642041200681,Patent-Cited,25,2005-2010,MESH
D015972,5953.005221913486,0.0013383799366336662,0.00040671517203916756,Patent-Cited,26,2005-2010,MESH
D018345,5950.874475345974,0.0017852656981981272,0.0006600757705414715,Patent-Cited,27,2005-2010,MESH
D008024,5641.017881929131,0.0013243654870354078,0.0004156866096223259,Patent-Cited,28,2005-2010,MESH
D014162,5537.584073754622,0.001600274963501118,0.0005781926495901703,Patent-Cited,29,2005-2010,MESH
D000911,5483.703417157278,0.0016083332720201163,0.0005864739765900087,Patent-Cited,30,2005-2010,MESH
D005260,38910.4092405728,0.01681576289233014,0.030987945508388265,Non-Patent-Cited,1,2005-2010,MESH
D008297,34605.03513295241,0.016999001820827364,0.030278631847967318,Non-Patent-Cited,2,2005-2010,MESH
D000328,33174.6932534745,0.008443005160470703,0.018255675289408375,Non-Patent-Cited,3,2005-2010,MESH
D006801,23367.0442016444,0.04563542740742843,0.0619437558674402,Non-Patent-Cited,4,2005-2010,MESH
D008875,23320.050431673066,0.008478566826326283,0.016403298464545957,Non-Patent-Cited,5,2005-2010,MESH
D000293,22200.36721878546,0.002479506495171847,0.007370771092359839,Non-Patent-Cited,6,2005-2010,MESH
D002648,20009.623382500497,0.001650376620814891,0.005647835009081855,Non-Patent-Cited,7,2005-2010,MESH
D014481,18548.868016925717,0.0006681388845969637,0.003600096879523975,Non-Patent-Cited,8,2005-2010,MESH
D011795,15967.721651399395,0.00033827377717795935,0.002571202009409988,Non-Patent-Cited,9,2005-2010,MESH
D000368,15298.465400673085,0.006278473420019711,0.01173548049339426,Non-Patent-Cited,10,2005-2010,MESH
D012189,13057.93826549317,0.0010244562656326805,0.0035928657208031014,Non-Patent-Cited,11,2005-2010,MESH
D012307,10148.520839716643,0.0015937932805619233,0.004107568196727844,Non-Patent-Cited,12,2005-2010,MESH
D002675,9803.584532720748,0.0009794348462982758,0.0030615405812627417,Non-Patent-Cited,13,2005-2010,MESH
D003937,9152.454854085641,0.0003810178484526471,0.0018825616616806678,Non-Patent-Cited,14,2005-2010,MESH
D005500,7607.582703982882,0.0010255073493525499,0.002811960588564712,Non-Patent-Cited,15,2005-2010,MESH
D007223,7345.400986327762,0.0007693932829443798,0.0023537571660482877,Non-Patent-Cited,16,2005-2010,MESH
D016896,7281.914899394309,0.0029083486528785505,0.00547758772865764,Non-Patent-Cited,17,2005-2010,MESH
D055815,7160.978540031781,0.0007413643837478632,0.002280035352864943,Non-Patent-Cited,18,2005-2010,MESH
D003430,6815.1151287529765,0.00030393837566222655,0.0014426311672182351,Non-Patent-Cited,19,2005-2010,MESH
D006113,6647.1449747648985,0.00011018860996630576,0.0009951094563392837,Non-Patent-Cited,20,2005-2010,MESH
D011247,6207.368412145912,0.0009575372688009973,0.0024853882586145606,Non-Patent-Cited,21,2005-2010,MESH
D001291,6182.010603697961,1.8043603857757542e-05,0.0006739079870158395,Non-Patent-Cited,22,2005-2010,MESH
D015995,5998.804302554616,0.00039625856239075297,0.0015162329611696978,Non-Patent-Cited,23,2005-2010,MESH
D007231,5947.404455776845,0.0006033220552050192,0.0018727500894743373,Non-Patent-Cited,24,2005-2010,MESH
D007722,5842.691628942381,2.680263485666897e-05,0.0006725577706571701,Non-Patent-Cited,25,2005-2010,MESH
D014057,5516.476515068243,0.0005852784513472616,0.0017801852568855633,Non-Patent-Cited,26,2005-2010,MESH
D012959,5399.854839230074,4.1868168174796625e-05,0.0006770884966607049,Non-Patent-Cited,27,2005-2010,MESH
D000369,4857.825573037235,0.0024068065378808822,0.004277545433880325,Non-Patent-Cited,28,2005-2010,MESH
D001294,4803.8294528041215,2.0145771297496284e-05,0.0005463275435255746,Non-Patent-Cited,29,2005-2010,MESH
D018570,4763.662021331705,0.0005966651916458465,0.0016875004050649076,Non-Patent-Cited,30,2005-2010,MESH
D051379,42902.36799823551,0.014240361355940818,0.005080866998985844,Patent-Cited,1,2010-2015,MESH
D000818,24734.709433011565,0.03064333868135489,0.018849351099704228,Patent-Cited,2,2010-2015,MESH
D045744,22012.85414158363,0.005656329759142854,0.0016927371993921765,Patent-Cited,3,2010-2015,MESH
D013329,10597.710248269581,0.0018453906808885252,0.00039075954692212143,Patent-Cited,4,2010-2015,MESH
D002460,10140.099821562657,0.0034604976491220798,0.001256027673247989,Patent-Cited,5,2010-2015,MESH
D049109,9858.285018595812,0.0036566735127584534,0.0013945010528433304,Patent-Cited,6,2010-2015,MESH
D015398,9826.636117766866,0.0047699715388948745,0.0020951343289916454,Patent-Cited,7,2010-2015,MESH
D008810,9374.90047741578,0.003423268820454722,0.001293688183856627,Patent-Cited,8,2010-2015,MESH
D015394,9282.796524319176,0.002782576283987747,0.0009293902832603787,Patent-Cited,9,2010-2015,MESH
D002478,8828.865591484311,0.003874027452582845,0.0016186168811495474,Patent-Cited,10,2010-2015,MESH
D053758,7359.750673767652,0.001583674244628181,0.00041038642246923505,Patent-Cited,11,2010-2015,MESH
D000970,7327.06641010057,0.002964930666322467,0.0011870334330894299,Patent-Cited,12,2010-2015,MESH
D002454,7193.805973532477,0.0023864347957129333,0.0008511598663737659,Patent-Cited,13,2010-2015,MESH
D016503,6517.294335979928,0.0012174049901343604,0.00027678512609794186,Patent-Cited,14,2010-2015,MESH
D000911,6372.690365337786,0.0014802360619835474,0.00040916262905276796,Patent-Cited,15,2010-2015,MESH
D035683,6246.4489411844625,0.0015261590482438805,0.0004393187460698625,Patent-Cited,16,2010-2015,MESH
D008807,6244.4348015806445,0.0017484173846591812,0.0005571492706780044,Patent-Cited,17,2010-2015,MESH
D002470,6175.589662675422,0.002205195048967056,0.0008225046280749801,Patent-Cited,18,2010-2015,MESH
D008958,6008.032015810755,0.0028514607633782466,0.0012389407463010902,Patent-Cited,19,2010-2015,MESH
D004195,5844.065044101115,0.0032946398735022365,0.0015491608321545854,Patent-Cited,20,2010-2015,MESH
D010455,5837.002723033134,0.001459503840031067,0.0004277735251597957,Patent-Cited,21,2010-2015,MESH
D008819,5824.656300386613,0.0011097311922521234,0.0002572044314344685,Patent-Cited,22,2010-2015,MESH
D008969,5762.117229770012,0.0038615435339878026,0.0019490411035956597,Patent-Cited,23,2010-2015,MESH
D023041,5700.597491095582,0.0008691928321797969,0.000158792968397059,Patent-Cited,24,2010-2015,MESH
D005822,5639.726268150793,0.0010047325197831097,0.00021783522813114068,Patent-Cited,25,2010-2015,MESH
D000595,5607.397212243928,0.002647928304855509,0.001147687320227922,Patent-Cited,26,2010-2015,MESH
D011485,5211.297527140894,0.0024015938397211984,0.0010285175499942123,Patent-Cited,27,2010-2015,MESH
D002384,5033.5083412653175,0.001374568608161228,0.0004302672928763701,Patent-Cited,28,2010-2015,MESH
D011108,5008.501282657421,0.0012334557426137,0.0003572784062829277,Patent-Cited,29,2010-2015,MESH
D009369,4955.578496819548,0.0026909532385848496,0.0012446671758724833,Patent-Cited,30,2010-2015,MESH
D005260,37459.43863722426,0.01766541359333769,0.033504739070733945,Non-Patent-Cited,1,2010-2015,MESH
D008297,36626.727455724875,0.01724006865263519,0.032715623221530876,Non-Patent-Cited,2,2010-2015,MESH
D000328,27548.780021786668,0.008007764997366116,0.017667143568955206,Non-Patent-Cited,3,2010-2015,MESH
D008875,23371.788127327694,0.00825677458791365,0.01708198559234938,Non-Patent-Cited,4,2010-2015,MESH
D000293,19743.476368283802,0.002363250375464998,0.007440525429468941,Non-Patent-Cited,5,2010-2015,MESH
D055815,16001.504754355898,0.0030708210472625555,0.007895337862000112,Non-Patent-Cited,6,2010-2015,MESH
D000368,15772.850056032788,0.006104190338739985,0.012274001434793874,Non-Patent-Cited,7,2010-2015,MESH
D012189,15088.60493625373,0.0010785213957645184,0.004396212308577062,Non-Patent-Cited,8,2010-2015,MESH
D002648,14337.647374411581,0.0016224635631199185,0.005243931699119629,Non-Patent-Cited,9,2010-2015,MESH
D006801,14113.615272562689,0.048019392875828924,0.06205759435048931,Non-Patent-Cited,10,2010-2015,MESH
D011795,14006.064010849808,0.00030095160898761884,0.002611020980137071,Non-Patent-Cited,11,2010-2015,MESH
D014481,10921.427937719045,0.0006687813533058196,0.00296857647172184,Non-Patent-Cited,12,2010-2015,MESH
D012307,10640.701850352505,0.0014744399569215638,0.004344812985085445,Non-Patent-Cited,13,2010-2015,MESH
D003430,9518.839158743303,0.0003154418716425783,0.0020344757383301544,Non-Patent-Cited,14,2010-2015,MESH
